BAJAJ-AUTO,BAJAJ-FINSV,BAJAJ-FINANCE
604.75,509.1,271
593.15,554.65,262.4
608.15,640.95,268.25
599.45,632.4,260.65
571.7,644,263.9
580.8,686.95,257.35
579.7,672.05,244.55
552.1,598.95,234.2
562.4,631.85,229.75
568.8,630.9,221.4
548.8,629.9,191.55
550.4,669.25,191.4
530.5,653.5,178.45
519.45,605.9,168.65
505.9,580.8,147.7
494.65,614.05,155.05
506.7,611.05,160.65
516.45,591.95,168.6
512.55,611.85,162.9
512.1,554.95,164.8
502.3,565.4,149.65
479,549.15,147.75
497.3,577.1,163.65
488.95,590.25,159.75
453.95,562,147.65
450.35,537.85,139.3
447.1,517.75,131.05
453.5,522.55,136.25
408.6,478.5,131.65
421,499.7,134.3
435.5,521.8,140.75
434.5,510.95,139.95
451.75,518.05,143.55
498.45,506.8,144.95
499.95,478.95,136.05
501.65,461.9,134.8
479.85,448.5,130.45
455,424.95,128.15
467.6,421.75,127
464.1,410.7,119.9
498.9,410.7,118.25
495.05,420,118
519,437.85,123.55
520.65,451.4,121.15
509.95,446.25,120.25
515.55,436.05,120.1
509.4,429.85,118.65
519.75,437.55,118.7
533.7,442.65,113.25
517.65,443,113.6
519,452.65,112.8
526.6,467.9,114.9
562.25,482.2,120
560.05,515.3,141.6
551.9,517.5,140.85
569.35,540.5,140.25
553.35,523.7,143.8
570.9,544.1,144.1
565.85,528.95,144.6
551.4,519.15,144.8
547.45,540.7,144.1
544.25,531.65,144
520.15,528.1,137.45
531.85,522.4,134.35
541.9,529.8,135.95
549.05,527.6,135.5
578.8,519.7,134.4
583.7,544.25,128.4
588.2,537.3,137.4
585.8,534.15,138.4
603.05,536.1,135.6
610.3,526.2,134.65
606.95,524.95,135.25
598.9,521.85,137
592.15,522.2,133.7
619.6,520.55,131
617.2,479.1,130.2
632.4,469.3,129.8
615.25,443.1,131.15
620.5,403.2,126.95
608.55,402.15,125
617.15,373.25,124.15
607.8,374.75,122.7
607.5,390.1,122.85
605.8,383.95,121.25
581.4,389.1,121.8
598.75,396.1,120.1
591.6,380.45,118.35
571,376.8,109.8
594.9,386.65,109.15
600.05,363.85,113.55
576.95,350,110.55
574.3,313.5,98.8
582.65,292.35,94.75
544.15,244.3,75.95
462.65,195.45,71
514.5,177.95,85.2
540.6,189.45,80.85
529.2,174.15,76.8
535.45,164.85,72.4
523.65,158.4,71.3
541.5,155,71.95
560.9,150.4,68.9
538.75,149.9,71.1
529.95,140.65,70.55
464.9,126.6,69.85
468.2,113.95,69.05
505.35,117.6,76.2
531.05,113.9,74.85
544.9,116.65,72.9
498.45,120.05,71.65
469.7,122.35,72
444.5,125,69.55
416.95,122,70.7
410.25,128.1,71.1
425.85,133.35,71.35
403.35,140.05,72.15
378.95,140.6,71.7
371.15,136.95,70.6
359.95,130.5,69.15
353.85,124.1,66.15
365.05,119.35,70.3
344.95,117.75,70.5
339.05,113.75,72.05
330.15,109,72.7
317.85,103.55,75.95
328.75,98.4,77.8
321.65,95.55,73.3
308.05,93.05,74.7
301.9,90.75,73.95
303.8,91.65,73.45
310.65,95.05,72.6
314.95,99.8,69.3
332.6,104.8,70.5
339.8,109.35,69.25
355.15,107.7,69.7
391.7,105.9,71.1
410.35,108,66
413.2,106.25,67
396.35,100.95,64.15
410.75,105.55,62.5
